hangle,first_translate,review,idiom
전장의 잔인함을 몸으로 체험했음에도 그랬다.,not even after experiencing firsthand the cruelty of war myself.,Not even after experiencing firsthand the cruelty of war.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
모든 것이 마치 어딘가 먼 세계의 일처럼 느껴졌다.,everything seemed to belong somewhere far off in another world.,Everything felt like it was happening in some distant world.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"아니, 외면하려 했다는 게 더 정확한 표현일 것이다...","or rather, I chose to turn a blind eye to it...","Or rather, I tried to turn a blind eye to it...","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
하지만 그의 상처를 보니 확 와닿았다.,"but after witnessing his scars, it finally sunk in.","But seeing his scars, it hit me hard.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
어린 시그렌이 오랜 폭력에 시달린 것에는 내 탓이 함께 있다.,"as someone partly responsible for little siegren suffering prolonged abuse,",I share the blame for little Siegren suffering prolonged violence.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
그런 주제에 친해지기 힘들다고 불평이나 하고 있던,I complained about having trouble befriending him.,"And yet, I had the audacity to complain about how hard it was to get close to him.","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
스스로가 부끄럽다.,I am ashamed of myself.,I am ashamed of myself.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
앞으로는 시그렌이 날 싫어하더라도,"from now on, even if siegren dislikes me,","From now on, even if Siegren dislikes me,","통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
항상 그의 편이 되어 줘야지.,I must stay by his side forevermore.,I must always be by his side.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
"그것이 지워지지 않는 그의 흉터에 대한,",that is the best apology I can give...,That is for his scars that will never fade.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
내가 할 수 있는 최대한의 사과일 것이다.,...for the permanent scars etched onto his body.,This will be the best apology I can offer.,"통 감이 안 잡힌단 말이야 : I can't get a grasp on it at all
섣불리 다가갔다가 : If I approach recklessly
엉망진창이라니 : It's a complete mess
제멋대로 : Doing whatever one wants
확 와닿았다 : It hit me hard"
